# source: derived from data/processed/wtw_agg_2017_2024.csv (CEPII BACI HS17 V202601, Etalab 2.0),
#         data/processed/wdi_gdp_1995_2024.csv (World Bank WDI NY.GDP.MKTP.CD),
#         data/processed/us_import_shares.csv (US Census FT900 country workbook)
# built: 2026-07-30
# script: analysis/21_actuals_metrics.py
# schema: block,metric,period,entity,value,unit  (tidy long; period = year or window '2018->2024')
# units: busd = billions of current USD; pct = percent; pp = percentage points; hhi on 0-10,000 scale
# conventions: trade share=(exp+imp)/(2*world); ASEAN10 gross incl. intra-bloc; betweenness on directed
#   graph with distance=1/value (Dijkstra, normalized); gravity = per-year OLS ln(v_ij)~ln(gdp_i)+ln(gdp_j)
#   (numpy lstsq, no distance term -- DESCRIPTIVE residual, not the published model); WDI-missing
#   economies (TWN, PRK, ...) excluded from GDP-based blocks -- TWN is the only top-15 trader affected
# note: BACI mirror-consistent FOB values; levels differ from US Census customs-basis imports by ~1pp
#   of share -- the (MEX+ASEAN10)-CHN gap is computed on BOTH bases in block 'us_import_gap'
# caveat: countries with betweenness exactly 0 form a tie group (rank = first tied rank, method='min');
#   MEX and VNM are 0 in BOTH 2018 and 2024 (they lie on no weighted shortest paths) -- their
#   'betweenness_rank_shift' rows are tie artifacts, not real movement; see world-block
#   'betweenness_nonzero_countries' for the size of the ranked (nonzero) set
block,metric,period,entity,value,unit
corridor,rank_among_dyads,2017,CHN->THA,70.0,rank
corridor,rank_among_dyads,2018,CHN->THA,58.0,rank
corridor,rank_among_dyads,2019,CHN->THA,56.0,rank
corridor,rank_among_dyads,2020,CHN->THA,50.0,rank
corridor,rank_among_dyads,2021,CHN->THA,47.0,rank
corridor,rank_among_dyads,2022,CHN->THA,49.0,rank
corridor,rank_among_dyads,2023,CHN->THA,45.0,rank
corridor,rank_among_dyads,2024,CHN->THA,36.0,rank
corridor,value_growth_pct,2018->2024,CHN->THA,69.35837638521171,pct
corridor,dest_share_change_pp,2018->2024,CHN->THA,8.42065001115505,pp
corridor,value_growth_pct,2021->2024,CHN->THA,20.789422462587392,pct
corridor,dest_share_change_pp,2021->2024,CHN->THA,1.888703761059503,pp
corridor,value_busd,2017,CHN->MYS,40.057393165,busd
corridor,share_world_pct,2017,CHN->MYS,0.23514904578871196,pct
corridor,share_dest_imports_pct,2017,CHN->MYS,20.59091982469836,pct
corridor,value_busd,2018,CHN->MYS,46.005211242,busd
corridor,share_world_pct,2018,CHN->MYS,0.24162084907342168,pct
corridor,share_dest_imports_pct,2018,CHN->MYS,20.78773020463273,pct
corridor,value_busd,2019,CHN->MYS,44.057275732,busd
corridor,share_world_pct,2019,CHN->MYS,0.23809908637370336,pct
corridor,share_dest_imports_pct,2019,CHN->MYS,21.19669434995651,pct
corridor,value_busd,2020,CHN->MYS,44.859294064,busd
corridor,share_world_pct,2020,CHN->MYS,0.26140688746074797,pct
corridor,share_dest_imports_pct,2020,CHN->MYS,23.027932183703467,pct
corridor,value_busd,2021,CHN->MYS,59.782876158,busd
corridor,share_world_pct,2021,CHN->MYS,0.2776531934097272,pct
corridor,share_dest_imports_pct,2021,CHN->MYS,24.74670783857522,pct
corridor,value_busd,2022,CHN->MYS,66.680916605,busd
corridor,share_world_pct,2022,CHN->MYS,0.2757222449811678,pct
corridor,share_dest_imports_pct,2022,CHN->MYS,23.06300240368675,pct
corridor,value_busd,2023,CHN->MYS,62.13517934,busd
corridor,share_world_pct,2023,CHN->MYS,0.27088505293743637,pct
corridor,share_dest_imports_pct,2023,CHN->MYS,23.291350126872025,pct
corridor,value_busd,2024,CHN->MYS,71.883201457,busd
corridor,share_world_pct,2024,CHN->MYS,0.31446026995154336,pct
corridor,share_dest_imports_pct,2024,CHN->MYS,23.6487805615696,pct
corridor,rank_among_dyads,2017,CHN->MYS,75.0,rank
corridor,rank_among_dyads,2018,CHN->MYS,68.0,rank
corridor,rank_among_dyads,2019,CHN->MYS,75.0,rank
corridor,rank_among_dyads,2020,CHN->MYS,66.0,rank
corridor,rank_among_dyads,2021,CHN->MYS,58.0,rank
corridor,rank_among_dyads,2022,CHN->MYS,61.0,rank
corridor,rank_among_dyads,2023,CHN->MYS,68.0,rank
corridor,rank_among_dyads,2024,CHN->MYS,48.0,rank
corridor,value_growth_pct,2018->2024,CHN->MYS,56.25012801022626,pct
corridor,dest_share_change_pp,2018->2024,CHN->MYS,2.861050356936868,pp
corridor,value_growth_pct,2021->2024,CHN->MYS,20.24045358242732,pct
corridor,dest_share_change_pp,2021->2024,CHN->MYS,-1.0979272770056205,pp
corridor,value_busd,2017,CHN->IDN,36.802098215,busd
