# source: IMF WEO via DataMapper API v1, indicator NGDPD (GDP current prices, billions USD); WEO vintage per indicator metadata: World Economic Outlook (April 2026)
# pulled: 2026-07-30
# script: analysis/02_pull_weo.py
# units: billions of current US dollars; years >= ~2025 are IMF projections; codes include aggregates (WEOWORLD etc.)
economy_code,year,ngdpd_bn_usd
GHA,2022,73.919
GHA,2023,80.547
GHA,2024,83.289
GHA,2025,114.708
GHA,2026,118.293
GHA,2027,120.962
GHA,2028,125.294
GIN,2020,14.089
GIN,2021,16.32
GIN,2022,19.589
GIN,2023,22.089
GIN,2024,24.233
GIN,2025,27.215
GIN,2026,29.93
GIN,2027,32.898
GIN,2028,36.242
GMB,2020,1.809
GMB,2021,2.045
GMB,2022,2.135
GMB,2023,2.331
GMB,2024,2.403
GMB,2025,2.584
GMB,2026,2.792
GMB,2027,3.021
GMB,2028,3.273
GNB,2020,1.523
GNB,2021,1.722
GNB,2022,1.721
GNB,2023,2.005
GNB,2024,2.186
GNB,2025,2.648
GNB,2026,2.985
GNB,2027,3.214
GNB,2028,3.444
GNQ,2020,9.908
GNQ,2021,12.222
GNQ,2022,13.717
GNQ,2023,12.339
GNQ,2024,12.769
GNQ,2025,12.484
GNQ,2026,13.722
GNQ,2027,13.504
GNQ,2028,13.625
GRC,2020,191.21
GRC,2021,218.449
GRC,2022,218.162
GRC,2023,243.016
GRC,2024,256.161
GRC,2025,280.476
GRC,2026,307.554
GRC,2027,320.226
GRC,2028,332.284
GRD,2020,1.043
GRD,2021,1.122
GRD,2022,1.224
GRD,2023,1.336
GRD,2024,1.351
GRD,2025,1.42
GRD,2026,1.483
GRD,2027,1.554
GRD,2028,1.632
GTM,2020,77.718
GTM,2021,86.443
GTM,2022,95.642
GTM,2023,104.354
GTM,2024,113.19
GTM,2025,121.113
GTM,2026,128.886
GTM,2027,139.461
GTM,2028,150.089
GUY,2020,5.471
GUY,2021,8.041
GUY,2022,14.718
GUY,2023,16.919
GUY,2024,24.659
GUY,2025,27.097
GUY,2026,33.961
GUY,2027,39.151
GUY,2028,43.669
HKG,2020,344.941
HKG,2021,368.954
HKG,2022,358.674
HKG,2023,380.762
HKG,2024,408.369
HKG,2025,427.31
HKG,2026,450.138
HKG,2027,469.525
HKG,2028,490.629
HND,2020,23.35
HND,2021,28.146
HND,2022,31.425
HND,2023,34.356
HND,2024,37.1
HND,2025,39.694
HND,2026,41.505
HND,2027,43.884
HND,2028,46.445
HRV,2020,57.914
HRV,2021,69.052
HRV,2022,71.257
HRV,2023,85.647
HRV,2024,92.955
HRV,2025,106.055
HRV,2026,116.574
HRV,2027,122.612
HRV,2028,128.198
HTI,2020,14.508
HTI,2021,21.017
HTI,2022,19.826
HTI,2023,19.603
HTI,2024,25.285
HTI,2025,32.102
HTI,2026,39.18
HTI,2027,45.098
HTI,2028,47.515
HUN,2020,158.468
HUN,2021,183.283
HUN,2022,177.784
HUN,2023,213.315
HUN,2024,222.878
HUN,2025,246.891
HUN,2026,271.122
HUN,2027,284.462
HUN,2028,298.261
IDN,2020,1059.055
IDN,2021,1186.51
IDN,2022,1319.101
IDN,2023,1371.167
IDN,2024,1396.302
IDN,2025,1445.642
IDN,2026,1539.872
IDN,2027,1659.491
IDN,2028,1790.06
IND,2020,2611.953
IND,2021,3084.517
IND,2022,3249.939
IND,2023,3500.906
IND,2024,3760.814
IND,2025,3916.312
IND,2026,4153.191
IND,2027,4579.083
IND,2028,5058.754
IRL,2020,435.659
IRL,2021,530.747
IRL,2022,548.773
IRL,2023,567.537
IRL,2024,608.974
IRL,2025,718.14
IRL,2026,779.381
IRL,2027,808.55
IRL,2028,838.255
IRN,2020,209.51
IRN,2021,307.337
IRN,2022,403.254
IRN,2023,421.547
IRN,2024,416.676
IRN,2025,371.196
IRN,2026,300.293
IRN,2027,313.33
IRN,2028,323.13
IRQ,2020,182.576
IRQ,2021,210.753
IRQ,2022,288.059
IRQ,2023,270.799
IRQ,2024,286.523
IRQ,2025,264.167
IRQ,2026,264.784
IRQ,2027,292.777
IRQ,2028,305.531
ISL,2020,22.035
ISL,2021,26.235
ISL,2022,29.176
ISL,2023,31.702
ISL,2024,33.187
ISL,2025,38.583
ISL,2026,43.8
ISL,2027,45.968
ISL,2028,48.085
ISR,2020,410.909
ISR,2021,489.736
ISR,2022,525.159
ISR,2023,513.394
ISR,2024,542.285
ISR,2025,610.778
ISR,2026,719.848
ISR,2027,761.058
ISR,2028,799.158
ITA,2020,1905.956
ITA,2021,2180.657
ITA,2022,2105.723
ITA,2023,2317.55
ITA,2024,2382.718
ITA,2025,2550.111
ITA,2026,2738.164
ITA,2027,2805.918
ITA,2028,2887.378
JAM,2020,15.079
JAM,2021,15.982
JAM,2022,18.71
JAM,2023,21.299
JAM,2024,21.9
JAM,2025,22.313
JAM,2026,23.028
JAM,2027,23.932
JAM,2028,24.838
JOR,2020,48.0
JOR,2021,50.775
JOR,2022,53.593
JOR,2023,56.203
JOR,2024,58.701
JOR,2025,61.692
JOR,2026,64.909
JOR,2027,68.46
JOR,2028,72.136
JPN,2020,5189.197
JPN,2021,5225.934
JPN,2022,4447.976
JPN,2023,4384.854
JPN,2024,4190.008
JPN,2025,4435.163
JPN,2026,4379.253
JPN,2027,4561.624
JPN,2028,4744.089
KAZ,2020,171.082
KAZ,2021,197.112
KAZ,2022,225.496
KAZ,2023,261.84
KAZ,2024,291.48
KAZ,2025,302.746
KAZ,2026,360.456
KAZ,2027,385.966
KAZ,2028,410.771
KEN,2020,100.922
KEN,2021,109.875
KEN,2022,114.733
KEN,2023,108.206
KEN,2024,119.307
KEN,2025,136.455
KEN,2026,147.265
KEN,2027,154.744
KEN,2028,161.992
KGZ,2020,8.283
KGZ,2021,9.256
KGZ,2022,12.269
KGZ,2023,15.187
KGZ,2024,18.175
KGZ,2025,21.567
KGZ,2026,23.606
KGZ,2027,25.412
KGZ,2028,27.228
KHM,2020,34.497
KHM,2021,36.17
KHM,2022,39.461
KHM,2023,42.404
KHM,2024,46.098
KHM,2025,49.288
KHM,2026,52.379
KHM,2027,56.115
KHM,2028,60.391
KIR,2020,0.222
KIR,2021,0.286
KIR,2022,0.272
KIR,2023,0.292
KIR,2024,0.343
KIR,2025,0.349
KIR,2026,0.401
KIR,2027,0.417
KIR,2028,0.431
KNA,2020,0.867
KNA,2021,0.843
KNA,2022,0.963
KNA,2023,1.034
KNA,2024,1.051
KNA,2025,1.082
KNA,2026,1.143
KNA,2027,1.197
KNA,2028,1.254
KOR,2020,1744.455
KOR,2021,1942.314
KOR,2022,1799.363
KOR,2023,1844.801
KOR,2024,1875.388
KOR,2025,1872.375
KOR,2026,1931.008
KOR,2027,2010.456
KOR,2028,2094.331
KWT,2020,111.048
KWT,2021,148.346
KWT,2022,183.539
KWT,2023,165.474
KWT,2024,160.902
KWT,2025,157.835
KWT,2026,172.92
KWT,2027,174.746
KWT,2028,180.084
LAO,2020,18.511
LAO,2021,18.533
LAO,2022,15.121
LAO,2023,14.993
LAO,2024,15.792
LAO,2025,17.822
LAO,2026,18.959
LAO,2027,20.087
LAO,2028,21.238
LBN,2020,23.626
LBN,2021,20.522
LBN,2022,25.674
LBN,2023,24.491
LBN,2024,29.339
LBN,2025,34.497
LBR,2020,3.037
LBR,2021,3.509
LBR,2022,3.974
LBR,2023,4.39
LBR,2024,4.778
LBR,2025,5.216
LBR,2026,5.642
LBR,2027,6.053
LBR,2028,6.469
LBY,2020,46.893
LBY,2021,35.216
LBY,2022,43.281
LBY,2023,43.958
LBY,2024,49.349
LBY,2025,44.732
LBY,2026,52.453
LBY,2027,50.082
LBY,2028,49.772
LCA,2020,1.511
LCA,2021,1.869
LCA,2022,2.334
LCA,2023,2.397
LCA,2024,2.574
LCA,2025,2.651
LCA,2026,2.765
LCA,2027,2.891
LCA,2028,3.021
LIE,2020,6.405
LIE,2021,7.913
LIE,2022,7.427
LIE,2023,8.239
LIE,2024,8.465
LIE,2025,8.991
LIE,2026,9.442
LIE,2027,9.691
LIE,2028,10.041
LKA,2020,84.304
LKA,2021,88.609
LKA,2022,74.584
LKA,2023,83.723
LKA,2024,98.964
LSO,2020,2.092
LSO,2021,2.443
LSO,2022,2.275
LSO,2023,2.227
LSO,2024,2.514
LSO,2025,2.854
LSO,2026,2.972
LSO,2027,3.096
LSO,2028,3.24
LTU,2020,57.352
LTU,2021,67.103
LTU,2022,70.687
LTU,2023,80.392
LTU,2024,85.482
LTU,2025,94.927
LTU,2026,105.907
LTU,2027,110.453
LTU,2028,116.583
LUX,2020,73.612
LUX,2021,86.444
LUX,2022,80.865
LUX,2023,88.814
LUX,2024,93.252
LUX,2025,101.1
LUX,2026,110.417
LUX,2027,114.475
LUX,2028,119.152
LVA,2020,33.353
LVA,2021,38.209
LVA,2022,38.033
LVA,2023,42.792
LVA,2024,43.988
LVA,2025,48.591
LVA,2026,53.686
LVA,2027,56.741
LVA,2028,59.801
MAC,2020,25.28
MAC,2021,30.634
MAC,2022,24.93
MAC,2023,45.627
MAC,2024,49.467
MAC,2025,52.061
MAC,2026,54.228
MAC,2027,56.81
MAC,2028,59.648
MAE,2020,39436.111
MAE,2021,43676.503
MAE,2022,45003.031
MAE,2023,47757.187
MAE,2024,49681.406
MAE,2025,52492.254
MAE,2026,55322.424
MAE,2027,57578.274
MAE,2028,59726.424
MAR,2020,121.354
MAR,2021,142.022
MAR,2022,131.245
MAR,2023,146.057
MAR,2024,160.606
MAR,2025,182.587
MAR,2026,194.333
MAR,2027,212.837
MAR,2028,227.879
MDA,2020,11.53
MDA,2021,13.694
MDA,2022,14.524
MDA,2023,16.711
MDA,2024,18.208
MDA,2025,20.342
MDA,2026,21.889
MDA,2027,23.723
MDA,2028,25.722
MDG,2020,13.051
MDG,2021,14.355
MDG,2022,15.342
MDG,2023,16.037
MDG,2024,17.593
MDG,2025,19.556
MDG,2026,21.185
MDG,2027,22.926
MDG,2028,25.256
MDV,2020,3.706
MDV,2021,5.24
MDV,2022,6.168
MDV,2023,6.611
MDV,2024,7.052
MDV,2025,7.665
MDV,2026,8.13
MDV,2027,8.673
MDV,2028,9.214
MECA,2020,3490.163
MECA,2021,4165.641
MECA,2022,5015.895
MECA,2023,4961.199
MECA,2024,5164.936
MECA,2025,5279.905
MECA,2026,5664.347
MECA,2027,5940.952
MECA,2028,6271.724
MEQ,2020,2392.607
MEQ,2021,2968.78
MEQ,2022,3652.066
MEQ,2023,3590.789
MEQ,2024,3698.477
MEQ,2025,3748.901
MEQ,2026,3982.021
MEQ,2027,4170.102
MEQ,2028,4368.586
MEX,2020,1121.065
MEX,2021,1316.569
MEX,2022,1466.935
MEX,2023,1794.41
MEX,2024,1830.489
MEX,2025,1832.641
MEX,2026,2120.855
MEX,2027,2222.003
MEX,2028,2327.102
MHL,2020,0.242
MHL,2021,0.261
MHL,2022,0.259
MHL,2023,0.264
MHL,2024,0.285
MHL,2025,0.308
MHL,2026,0.342
MHL,2027,0.368
MHL,2028,0.384
MKD,2020,12.385
MKD,2021,14.008
MKD,2022,13.957
MKD,2023,15.864
MKD,2024,16.954
MKD,2025,19.142
MKD,2026,21.605
MKD,2027,23.12
MKD,2028,24.585
MLI,2020,20.777
MLI,2021,23.061
MLI,2022,22.657
MLI,2023,24.817
MLI,2024,26.777
MLI,2025,30.05
